,Name,MarketCap,Price,Volume24h,CirculatingSupply,Change24h,timestamp
0,Bitcoin,90727125106.7,5147.44846895,21245472616.0,17625650.0,9.00714,20190403190915
1,Ethereum,18503886276.7,175.380373379,9889967093.63,105507166.624,12.5541,20190403190915
2,XRP,15371105508.7,0.368225182432,2275960135.61,41743765071.0,8.87613,20190403190915
3,Bitcoin Cash,5960898796.63,336.616095087,3727932214.99,17708300.0,61.9751,20190403190915
4,Litecoin,5780176520.66,94.4806185378,5818763227.56,61178436.489,33.7744,20190403190915
0,Bitcoin,90727125106.7,5147.44846895,21245472616.0,17625650.0,9.00714,20190403190936
1,Ethereum,18503886276.7,175.380373379,9889967093.63,105507166.624,12.5541,20190403190936
2,XRP,15371105508.7,0.368225182432,2275960135.61,41743765071.0,8.87613,20190403190936
3,Bitcoin Cash,5960898796.63,336.616095087,3727932214.99,17708300.0,61.9751,20190403190936
4,Litecoin,5780176520.66,94.4806185378,5818763227.56,61178436.489,33.7744,20190403190936
0,Bitcoin,90789646543.6,5150.9956537,21253884750.8,17625650.0,9.08197,20190403191036
1,Ethereum,18433003392.1,174.708543333,9878243533.86,105507166.624,12.0896,20190403191036
2,XRP,15366448861.5,0.368113629314,2276594145.14,41743765071.0,8.79256,20190403191036
3,Bitcoin Cash,5924641305.63,334.568609388,3724081318.46,17708300.0,60.767,20190403191036
4,Litecoin,5765753935.51,94.2448723178,5813190198.63,61178436.489,33.3847,20190403191036
0,Bitcoin,90903248972.0,5157.44094385,21258851882.9,17625650.0,9.21846,20190403191137
1,Ethereum,18406032431.8,174.452911785,9869812323.07,105507166.624,11.9256,20190403191137
2,XRP,15392945810.0,0.368748381557,2281806161.58,41743765071.0,8.98015,20190403191137
3,Bitcoin Cash,5925925583.35,334.641133443,3740564314.66,17708300.0,60.8018,20190403191137
4,Litecoin,5742816719.21,93.8699490994,5802257921.1,61178436.489,32.854,20190403191137
0,Bitcoin,90933583038.0,5159.16196214,21242390081.9,17625650.0,9.2549,20190403191238
1,Ethereum,18351545887.9,173.936486734,9869997699.11,105507166.624,11.5943,20190403191238
2,XRP,15368592352.9,0.368164978093,2280689644.83,41743765071.0,8.80773,20190403191238
3,Bitcoin Cash,5878055879.54,331.937898022,3729799786.17,17708300.0,59.5028,20190403191238
4,Litecoin,5725422583.21,93.585631013,5793133935.77,61178436.489,32.4516,20190403191238
0,Bitcoin,91013843860.9,5163.71559976,21263905712.6,17625650.0,9.35134,20190403191339
1,Ethereum,18386095125.2,174.263945412,9879056586.96,105507166.624,11.8044,20190403191339
2,XRP,15322864115.7,0.367069527381,2278186137.56,41743765071.0,8.48398,20190403191339
3,Bitcoin Cash,5772067741.56,325.952674258,3689686035.58,17708300.0,56.6268,20190403191339
4,Litecoin,5700255943.81,93.1742664727,5783192125.98,61178436.489,31.8694,20190403191339
0,Bitcoin,90827984008.8,5153.17074881,21283215108.6,17625650.0,9.12803,20190403191441
1,Ethereum,18383030721.6,174.234900906,9890181582.22,105507166.624,11.7857,20190403191441
2,XRP,15318726437.4,0.366970406512,2280839324.91,41743765071.0,8.45469,20190403191441
3,Bitcoin Cash,5753137946.95,324.883695609,3695737280.77,17708300.0,56.1132,20190403191441
4,Litecoin,5701054705.48,93.1873227342,5786030169.78,61178436.489,31.8879,20190403191441
0,Bitcoin,90714635927.0,5146.73988914,21277648758.7,17625650.0,8.99022,20190403191544
1,Ethereum,18375612966.0,174.164595202,9889032727.76,105507166.624,11.7014,20190403191544
2,XRP,15303251079.0,0.36659968388,2280949666.07,41743765071.0,8.28357,20190403191544
3,Bitcoin Cash,5761848093.13,325.375563613,3701910628.25,17708300.0,56.3097,20190403191544
4,Litecoin,5694259117.16,93.0762445716,5786398152.09,61178436.489,31.6741,20190403191544
0,Bitcoin,90596645108.2,5140.04562148,21267316439.0,17625650.0,8.84846,20190403191645
1,Ethereum,18362774497.3,174.042911822,9892430233.43,105507166.624,11.6233,20190403191645
2,XRP,15275308130.0,0.365930291723,2278382887.72,41743765071.0,8.08585,20190403191645
3,Bitcoin Cash,5804661581.77,327.793271052,3726554666.19,17708300.0,57.3005,20190403191645
4,Litecoin,5704295542.61,93.2402962543,5794612947.58,61178436.489,31.9062,20190403191645
0,Bitcoin,90460188767.9,5132.30370329,21242519624.9,17625650.0,8.68452,20190403191746
1,Ethereum,18319588157.5,173.633266848,9879841553.14,105507363.249,11.3606,20190403191746
2,XRP,15258408725.8,0.365525455115,2277261463.37,41743765071.0,7.96628,20190403191746
3,Bitcoin Cash,5771526212.35,325.922093727,3720479515.01,17708300.0,56.4026,20190403191746
4,Litecoin,5703367126.47,93.2247397547,5795296643.08,61178686.489,31.8842,20190403191746
