,Name,MarketCap,Price,Volume24h,CirculatingSupply,Change24h,timestamp
0,Bitcoin,89240949497.5,5058.9427737,17571283211.3,17640237.0,-4.75398,20190411194011
1,Ethereum,17454903208.4,165.266271256,8556902846.26,105616851.374,-8.49068,20190411194011
2,XRP,13780940319.2,0.329749821316,1748430760.16,41792108527.0,-7.61597,20190411194011
3,Bitcoin Cash,4867282342.35,274.634712014,1985489057.4,17722750.0,-9.69131,20190411194011
4,Litecoin,4834196066.61,78.8684995818,3454031424.13,61294383.5909,-10.9436,20190411194011
5,EOS,4752215272.89,5.24385200052,3961573781.25,906245117.6,-10.6571,20190411194011
6,Binance Coin,2430427980.79,17.2156510781,181874222.285,141175490.242,-6.76148,20190411194011
7,Tether,2301506336.94,1.00658375299,19063463427.1,2286452895.85,-0.0312895,20190411194011
8,Stellar,2247037895.49,0.116539923411,383924175.277,19281271428.1,-7.99969,20190411194011
9,Cardano,2164799619.13,0.0834957276008,176004421.637,25927070538.0,-7.63124,20190411194011
10,TRON,1774875961.38,0.0266169886906,563119289.902,66682072191.4,-12.757,20190411194011
11,Bitcoin SV,1269758647.57,71.6534284001,209666549.071,17720835.917,-10.8956,20190411194011
12,Monero,1121909090.43,66.3362155756,130705927.442,16912467.5065,-6.60882,20190411194011
13,Dash,1068802960.16,122.211464168,311342754.493,8745521.27684,-6.72726,20190411194011
14,IOTA,901505496.628,0.32433735374,21984828.2646,2779530283.0,-8.83489,20190411194011
15,NEO,740652146.715,11.394648411,331941168.033,65000000.0,-9.12206,20190411194011
16,Ethereum Classic,678382643.612,6.18707455694,621968945.864,109645138.0,-12.5506,20190411194011
17,Ontology,652589305.189,1.31875024366,120381660.089,494854358.0,-12.2985,20190411194011
18,Maker,637901518.609,637.901518609,1684591.09842,1000000.0,-11.3759,20190411194011
19,NEM,589050061.779,0.0654500068716,29756529.4487,8999999999.0,-10.5926,20190411194011
0,Bitcoin,89231322471.5,5058.39703126,17574998080.4,17640237.0,-4.76426,20190411194113
1,Ethereum,17461261939.5,165.326476905,8552674040.28,105616851.374,-8.45735,20190411194113
2,XRP,13779131311.3,0.329706535443,1748021148.46,41792108527.0,-7.6281,20190411194113
3,Bitcoin Cash,4869567967.68,274.763677628,1991524375.62,17722750.0,-9.66352,20190411194113
4,Litecoin,4832266604.41,78.8370209685,3453545361.71,61294383.5909,-10.9792,20190411194113
5,EOS,4752308245.33,5.24395459135,3963506393.8,906245117.6,-10.6309,20190411194113
6,Binance Coin,2428583803.58,17.2025880655,180985904.342,141175490.242,-6.83099,20190411194113
7,Tether,2300598248.35,1.00618659257,19065192705.6,2286452895.85,-0.0707334,20190411194113
8,Stellar,2245834049.07,0.116477487361,383773305.406,19281271428.1,-8.04897,20190411194113
9,Cardano,2163335729.0,0.0834392657602,175866459.563,25927070538.0,-7.74121,20190411194113
10,TRON,1775218392.1,0.0266221239646,563047070.18,66682072191.4,-12.7407,20190411194113
11,Bitcoin SV,1269822057.65,71.6570066783,209622722.752,17720835.917,-10.8912,20190411194113
12,Monero,1121514844.6,66.3129046168,130670828.591,16912467.5065,-6.64164,20190411194113
13,Dash,1069903555.16,122.337310869,310320162.143,8745521.27684,-6.63121,20190411194113
14,IOTA,901574013.718,0.32436200434,21978641.1185,2779530283.0,-8.85631,20190411194113
15,NEO,740338560.058,11.3898240009,331953070.287,65000000.0,-9.15351,20190411194113
16,Ethereum Classic,678806800.324,6.19094300674,622976805.634,109645138.0,-12.4958,20190411194113
17,Ontology,651291521.75,1.31612768731,120294605.385,494854358.0,-12.4641,20190411194113
18,Maker,637370187.527,637.370187527,1684687.98615,1000000.0,-11.4586,20190411194113
19,NEM,589086577.99,0.0654540642284,29768088.3201,8999999999.0,-10.5973,20190411194113
0,Bitcoin,89214997798.8,5057.47160873,17574717447.4,17640237.0,-4.78168,20190411194214
1,Ethereum,17462150076.3,165.33488595,8550089648.2,105616851.374,-8.45269,20190411194214
2,XRP,13783247053.9,0.329805016777,1748206234.28,41792108527.0,-7.60051,20190411194214
3,Bitcoin Cash,4871329299.52,274.863060164,1992171578.41,17722750.0,-9.63084,20190411194214
4,Litecoin,4832208236.78,78.8360687176,3453389305.01,61294383.5909,-10.9802,20190411194214
5,EOS,4753304038.96,5.24505340404,3963055088.96,906245117.6,-10.6122,20190411194214
6,Binance Coin,2428259359.15,17.2002899015,180926310.763,141175490.242,-6.84344,20190411194214
7,Tether,2301241158.82,1.00646777504,19060829607.9,2286452895.85,-0.0428078,20190411194214
8,Stellar,2245015347.91,0.116435026408,383706676.464,19281271428.1,-8.08249,20190411194214
9,Cardano,2162739947.0,0.0834162866119,175851079.663,25927070538.0,-7.76661,20190411194214
10,TRON,1776139011.89,0.0266359300711,563131637.066,66682072191.4,-12.6954,20190411194214
11,Bitcoin SV,1269708768.79,71.6506137037,209582127.603,17720835.917,-10.8991,20190411194214
12,Monero,1121800163.72,66.3297749594,130674936.154,16912467.5065,-6.61788,20190411194214
13,Dash,1069261357.96,122.263879318,310298143.241,8745521.27684,-6.68726,20190411194214
14,IOTA,902092300.583,0.32454846997,21975983.8977,2779530283.0,-8.80391,20190411194214
15,NEO,741823940.045,11.4126760007,332410520.679,65000000.0,-8.97124,20190411194214
16,Ethereum Classic,679051134.239,6.19317141303,622933688.516,109645138.0,-12.4643,20190411194214
17,Ontology,650655348.987,1.31484211156,120144508.757,494854358.0,-12.5496,20190411194214
18,Maker,637438339.494,637.438339494,1684921.36157,1000000.0,-11.4491,20190411194214
19,NEM,589040802.679,0.0654489780827,29775466.5596,8999999999.0,-10.6043,20190411194214
0,Bitcoin,89223516846.9,5057.95454148,17566741046.2,17640237.0,-4.77259,20190411194315
1,Ethereum,17457252667.4,165.288516371,8550033415.65,105616851.374,-8.47836,20190411194315
2,XRP,13784307559.0,0.329830392504,1748108826.81,41792108527.0,-7.5934,20190411194315
3,Bitcoin Cash,4870043377.08,274.790502438,1991837646.36,17722750.0,-9.6547,20190411194315
4,Litecoin,4829245948.61,78.7877398497,3451621886.94,61294383.5909,-11.0348,20190411194315
5,EOS,4753596584.32,5.24537621445,3963342187.38,906245117.6,-10.6067,20190411194315
