,Name,Market Cap,Price,Volume (24h),Circulating Supply,Change (24h),timestamp
1,Bitcoin,"$88,562,389,000",$5023.26,"$16,017,918,220","17,630,450 BTC",1.00%,2019-04-06 09:19
2,Ethereum,"$17,364,709,634",$164.53,"$6,981,642,883","105,542,782 ETH",0.69%,2019-04-06 09:19
3,XRP,"$14,953,183,926",$0.358214,"$1,659,164,866","41,743,765,071 XRP",*,2019-04-06 09:19
4,Litecoin,"$5,371,040,727",$87.74,"$3,241,265,862","61,216,611 LTC",0.26%,2019-04-06 09:19
5,Bitcoin Cash,"$5,120,681,865",$289.09,"$1,538,230,901","17,713,113 BCH",0.50%,2019-04-06 09:19
6,EOS,"$4,798,156,456",$5.29,"$2,285,446,161","906,245,118 EOS",*,2019-04-06 09:19
7,Binance Coin,"$2,712,076,868",$19.21,"$172,274,512","141,175,490 BNB",*,2019-04-06 09:19
8,Stellar,"$2,420,071,291",$0.125590,"$333,002,335","19,269,665,426 XLM",*,2019-04-06 09:19
9,Cardano,"$2,332,168,259",$0.089951,"$95,838,079","25,927,070,538 ADA",-0.50%,2019-04-06 09:19
10,Tether,"$2,090,610,792",$1.01,"$14,050,693,963","2,077,326,324 USDT",*,2019-04-06 09:19
11,TRON,"$1,807,465,841",$0.027106,"$377,898,943","66,682,072,191 TRX",-0.10%,2019-04-06 09:19
12,Bitcoin SV,"$1,490,438,981",$84.35,"$145,605,263","17,670,348 BSV",0.46%,2019-04-06 09:19
13,Monero,"$1,166,156,033",$69.00,"$92,291,575","16,901,003 XMR",5.27%,2019-04-06 09:19
14,Dash,"$1,142,573,975",$130.79,"$291,505,212","8,735,770 DASH",2.12%,2019-04-06 09:19
15,IOTA,"$974,763,574",$0.350694,"$16,330,941","2,779,530,283 MIOTA",*,2019-04-06 09:19
16,NEO,"$869,190,536",$13.37,"$303,488,635","65,000,000 NEO",*,2019-04-06 09:19
17,Ontology,"$795,983,654",$1.61,"$82,420,761","494,823,234 ONT",*,2019-04-06 09:19
18,Maker,"$771,340,543",$771.34,"$842,019","1,000,000 MKR",*,2019-04-06 09:19
19,Tezos,"$664,742,940",$1.00,"$7,665,629","663,777,620 XTZ",*,2019-04-06 09:19
20,NEM,"$637,535,208",$0.070837,"$25,804,639","8,999,999,999 XEM",*,2019-04-06 09:19
21,Ethereum Classic,"$626,355,587",$5.72,"$355,507,597","109,512,006 ETC",-1.03%,2019-04-06 09:19
22,Zcash,"$444,246,091",$71.01,"$268,389,587","6,256,119 ZEC",2.32%,2019-04-06 09:19
23,Dogecoin,"$420,005,165",$0.003531,"$50,539,711","118,961,051,287 DOGE",0.62%,2019-04-06 09:19
24,VeChain,"$418,518,075",$0.007547,"$11,529,298","55,454,734,800 VET",*,2019-04-06 09:19
25,Basic Attenti...,"$386,596,823",$0.309620,"$45,130,439","1,248,616,783 BAT",*,2019-04-06 09:19
26,Bitcoin Gold,"$340,856,536",$19.57,"$30,768,311","17,413,924 BTG",20.19%,2019-04-06 09:19
27,OmiseGO,"$334,144,990",$2.38,"$131,473,072","140,245,398 OMG",*,2019-04-06 09:19
28,Qtum,"$300,000,050",$3.36,"$184,395,001","89,377,060 QTUM",*,2019-04-06 09:19
29,Waves,"$290,519,954",$2.91,"$10,910,641","100,000,000 WAVES",*,2019-04-06 09:19
30,USD Coin,"$261,444,618",$1.00,"$41,197,167","260,415,582 USDC",*,2019-04-06 09:19
31,Lisk,"$251,958,981",$2.17,"$7,904,063","115,925,126 LSK",*,2019-04-06 09:19
32,Decred,"$246,950,540",$25.77,"$2,942,356","9,581,221 DCR",8.70%,2019-04-06 09:19
33,Crypto.com Chain,"$231,405,856",$0.050779,"$613,934","4,557,077,626 CRO",*,2019-04-06 09:19
34,Zilliqa,"$227,350,178",$0.025980,"$37,867,438","8,750,823,775 ZIL",*,2019-04-06 09:19
35,Augur,"$216,134,277",$19.65,"$5,323,064","11,000,000 REP",*,2019-04-06 09:19
36,IOST,"$215,966,561",$0.017976,"$52,612,987","12,013,965,609 IOST",*,2019-04-06 09:19
37,0x,"$213,576,960",$0.363495,"$25,887,539","587,564,582 ZRX",*,2019-04-06 09:19
38,ICON,"$205,673,430",$0.434454,"$14,298,311","473,406,688 ICX",*,2019-04-06 09:19
39,BitShares,"$202,664,224",$0.074897,"$7,623,708","2,705,910,000 BTS",*,2019-04-06 09:19
40,Chainlink,"$202,645,763",$0.578988,"$6,855,651","350,000,000 LINK",*,2019-04-06 09:19
41,TrueUSD,"$202,149,228",$1.01,"$70,593,259","200,305,449 TUSD",*,2019-04-06 09:19
42,Ravencoin,"$201,133,759",$0.061648,"$14,564,411","3,262,615,000 RVN",5.72%,2019-04-06 09:19
43,Bitcoin Diamond,"$198,374,930",$1.29,"$12,086,006","153,756,875 BCD",5.06%,2019-04-06 09:19
44,Nano,"$187,526,732",$1.41,"$6,840,236","133,248,289 NANO",*,2019-04-06 09:19
45,Bytecoin,"$181,244,135",$0.000985,"$297,653","184,066,828,814 BCN",4.62%,2019-04-06 09:19
46,Holo,"$175,070,113",$0.001314,"$10,525,015","133,214,575,156 HOT",*,2019-04-06 09:19
47,DigiByte,"$173,845,178",$0.014937,"$1,434,258","11,638,732,293 DGB",-0.16%,2019-04-06 09:19
48,Aeternity,"$167,860,564",$0.652029,"$41,778,050","257,443,266 AE",*,2019-04-06 09:19
49,Steem,"$162,877,505",$0.528794,"$7,100,856","308,016,909 STEEM",*,2019-04-06 09:19
